run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-09-02 19:15:18,708.7,2026-09-02,702.0,0.01,0.05,0.04,45866,628,0.5192,-0.0235,0.01638,-0.03,0.0036
2026-09-02 19:15:18,708.7,2026-09-02,703.0,0.05,0.06,0.04,53946,513,0.5043,-0.0411,0.02673,-0.055,0.0058
2026-09-02 19:15:18,708.7,2026-09-02,704.0,0.02,0.03,0.07,121502,1056,0.374,-0.0268,0.02534,-0.025,0.004
2026-09-02 19:15:18,708.7,2026-09-02,705.0,0.06,0.07,0.11,184454,2016,0.3694,-0.0621,0.05069,-0.065,0.008
2026-09-02 19:15:18,708.7,2026-09-02,706.0,0.17,0.18,0.18,217759,1007,0.3806,-0.1383,0.08871,-0.175,0.0144
2026-09-02 19:15:18,708.7,2026-09-02,707.0,0.28,0.29,0.33,325311,2480,0.3407,-0.2221,0.13373,-0.285,0.0195
2026-09-02 19:15:18,708.7,2026-09-02,708.0,0.59,0.6,0.6,449243,598,0.3458,-0.3781,0.16822,-0.595,0.0248
2026-09-02 19:15:18,708.7,2026-09-02,709.0,1.03,1.04,1.04,238271,382,0.3357,-0.5542,0.18015,-0.73,0.0258
2026-09-02 19:15:18,708.7,2026-09-02,710.0,1.59,1.67,1.61,78228,3204,0.314,-0.7365,0.15916,-0.325,0.0213
2026-09-02 19:15:18,708.7,2026-09-02,711.0,2.43,2.44,2.45,18710,634,0.3119,-0.87,0.1038,-0.13,0.0138
2026-09-02 19:15:18,708.7,2026-09-02,712.0,3.27,3.37,3.36,7138,885,0.2615,-0.973,0.03648,-0.015,0.0041
2026-09-02 19:15:18,708.7,2026-09-02,713.0,4.22,4.37,4.47,3131,975,,,,,
2026-09-02 19:15:18,708.7,2026-09-02,714.0,5.22,5.34,5.35,1793,1793,,,,,
2026-09-02 19:15:18,708.7,2026-09-02,715.0,6.37,6.48,6.32,1437,2890,0.6394,-0.933,0.03106,-0.12,0.0085
2026-09-02 19:16:19,708.55,2026-09-02,702.0,0.04,0.05,0.04,45929,628,0.5522,-0.0322,0.02022,-0.045,0.0047
2026-09-02 19:16:19,708.55,2026-09-02,703.0,0.04,0.05,0.05,54080,513,0.4817,-0.0363,0.02558,-0.045,0.0051
2026-09-02 19:16:19,708.55,2026-09-02,704.0,0.02,0.03,0.03,121543,1056,0.3689,-0.0274,0.02648,-0.025,0.0041
2026-09-02 19:16:19,708.55,2026-09-02,705.0,0.06,0.07,0.11,184568,2016,0.3626,-0.0637,0.0533,-0.065,0.0081
2026-09-02 19:16:19,708.55,2026-09-02,706.0,0.14,0.15,0.19,218088,1007,0.3501,-0.1282,0.09268,-0.145,0.0135
2026-09-02 19:16:19,708.55,2026-09-02,707.0,0.29,0.3,0.34,325608,2480,0.3334,-0.234,0.14238,-0.295,0.0198
2026-09-02 19:16:19,708.55,2026-09-02,708.0,0.58,0.63,0.59,449593,598,0.3319,-0.3968,0.17981,-0.605,0.0249
2026-09-02 19:16:19,708.55,2026-09-02,709.0,1.08,1.09,1.08,238451,382,0.328,-0.5821,0.18431,-0.64,0.0252
2026-09-02 19:16:19,708.55,2026-09-02,710.0,1.72,1.77,1.78,78277,3204,0.3227,-0.7549,0.15086,-0.3,0.0203
2026-09-02 19:16:19,708.55,2026-09-02,711.0,2.55,2.63,2.65,18713,634,0.3397,-0.8664,0.09823,-0.145,0.0139
2026-09-02 19:16:19,708.55,2026-09-02,712.0,3.4,3.57,3.36,7141,885,0.3214,-0.9508,0.04905,-0.04,0.0066
2026-09-02 19:16:19,708.55,2026-09-02,713.0,4.48,4.55,4.47,3131,975,0.4393,-0.9405,0.04173,-0.07,0.0076
2026-09-02 19:16:19,708.55,2026-09-02,714.0,5.41,5.59,5.35,1793,1793,0.4921,-0.9558,0.02942,-0.055,0.006
2026-09-02 19:16:19,708.55,2026-09-02,715.0,6.35,6.5,6.32,1437,2890,,,,,
2026-09-02 19:17:20,708.7,2026-09-02,702.0,0.01,0.02,0.02,46033,628,0.4796,-0.0139,0.01159,-0.015,0.0023
2026-09-02 19:17:20,708.7,2026-09-02,703.0,0.04,0.05,0.05,54156,513,0.4974,-0.0356,0.0247,-0.045,0.005
2026-09-02 19:17:20,708.7,2026-09-02,704.0,0.02,0.03,0.07,121584,1056,0.3828,-0.0268,0.02534,-0.025,0.004
2026-09-02 19:17:20,708.7,2026-09-02,705.0,0.09,0.1,0.1,184817,2016,0.4128,-0.0795,0.05614,-0.095,0.0094
2026-09-02 19:17:20,708.7,2026-09-02,706.0,0.12,0.13,0.17,218219,1007,0.3518,-0.1142,0.08596,-0.125,0.0123
2026-09-02 19:17:20,708.7,2026-09-02,707.0,0.27,0.28,0.28,325772,2480,0.3434,-0.2187,0.13458,-0.275,0.0188
2026-09-02 19:17:20,708.7,2026-09-02,708.0,0.58,0.59,0.59,449869,598,0.3498,-0.3768,0.17002,-0.585,0.0242
2026-09-02 19:17:20,708.7,2026-09-02,709.0,1.02,1.04,1.02,238692,382,0.3416,-0.5545,0.18118,-0.725,0.0252
2026-09-02 19:17:20,708.7,2026-09-02,710.0,1.6,1.64,1.67,78297,3204,0.3165,-0.7397,0.16059,-0.315,0.0207
2026-09-02 19:17:20,708.7,2026-09-02,711.0,2.38,2.53,2.59,18713,634,0.3336,-0.8594,0.10479,-0.15,0.0142
2026-09-02 19:17:20,708.7,2026-09-02,712.0,3.37,3.41,3.58,7142,885,0.3696,-0.9184,0.06394,-0.085,0.0096
2026-09-02 19:17:20,708.7,2026-09-02,713.0,4.25,4.32,4.47,3131,975,,,,,
2026-09-02 19:17:20,708.7,2026-09-02,714.0,5.19,5.29,5.35,1793,1793,,,,,
2026-09-02 19:17:20,708.7,2026-09-02,715.0,6.31,6.5,6.32,1437,2890,0.6291,-0.9405,0.02945,-0.1,0.0076
2026-09-02 19:18:21,708.7,2026-09-02,702.0,0.01,0.02,0.04,46058,628,0.4854,-0.0139,0.01159,-0.015,0.0022
2026-09-02 19:18:21,708.7,2026-09-02,703.0,0.01,0.05,0.05,54227,513,0.4694,-0.0266,0.02076,-0.03,0.0039
2026-09-02 19:18:21,708.7,2026-09-02,704.0,0.06,0.07,0.07,121744,1056,0.4622,-0.0528,0.03693,-0.065,0.0068
2026-09-02 19:18:21,708.7,2026-09-02,705.0,0.09,0.1,0.06,185118,2016,0.4178,-0.0795,0.05614,-0.095,0.0093
2026-09-02 19:18:21,708.7,2026-09-02,706.0,0.13,0.18,0.18,218440,1007,0.3796,-0.1292,0.08796,-0.155,0.0133
2026-09-02 19:18:21,708.7,2026-09-02,707.0,0.33,0.34,0.34,326357,2480,0.379,-0.2381,0.12946,-0.335,0.0195
