run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-08-04 13:45:16,713.2,2026-08-04,699.0,14.22,14.43,13.78,115,844,0.4127,0.9666,0.00946,-0.125,0.0142
2026-08-04 13:45:16,713.2,2026-08-04,700.0,13.14,13.93,13.14,433,2373,0.4887,0.9251,0.01519,-0.335,0.0269
2026-08-04 13:45:16,713.2,2026-08-04,701.0,12.26,12.96,12.26,456,419,0.4855,0.9099,0.01759,-0.41,0.031
2026-08-04 13:45:16,713.2,2026-08-04,702.0,11.6,11.97,11.63,700,682,0.5054,0.8814,0.02061,-0.585,0.0378
2026-08-04 13:45:16,713.2,2026-08-04,703.0,10.62,10.82,10.62,372,799,0.4561,0.8833,0.02259,-0.52,0.0374
2026-08-04 13:45:16,713.2,2026-08-04,704.0,9.68,9.76,9.82,138,597,0.4239,0.876,0.02535,-0.52,0.039
2026-08-04 13:45:16,713.2,2026-08-04,705.0,8.98,9.1,8.78,512,2415,0.4625,0.8277,0.02898,-0.84,0.0486
2026-08-04 13:45:16,713.2,2026-08-04,706.0,8.1,8.22,8.05,348,704,0.4492,0.8036,0.03237,-0.96,0.0527
2026-08-04 13:45:16,713.2,2026-08-04,707.0,7.22,7.29,7.09,389,756,0.4279,0.7801,0.03633,-1.055,0.0564
2026-08-04 13:45:16,713.2,2026-08-04,708.0,6.24,6.48,6.24,1017,570,0.4053,0.7531,0.04089,-1.16,0.0601
2026-08-04 13:45:16,713.2,2026-08-04,709.0,5.59,5.6,5.59,1590,2322,0.3997,0.7128,0.04477,-1.395,0.0649
2026-08-04 13:45:16,713.2,2026-08-04,710.0,4.76,4.78,4.76,4370,3340,0.3795,0.6743,0.04984,-1.57,0.0686
2026-08-04 13:45:16,713.2,2026-08-04,711.0,4.08,4.19,4,950,1562,0.3809,0.6224,0.05239,-1.935,0.0724
2026-08-04 13:45:16,713.2,2026-08-04,712.0,3.56,3.57,3.56,1231,470,0.3838,0.5685,0.05378,-2.365,0.0749
2026-08-04 13:45:16,713.2,2026-08-04,713.0,2.95,2.98,2.82,1879,367,0.3756,0.5144,0.05575,-2.765,0.0759
2026-08-04 13:45:16,713.2,2026-08-04,714.0,2.31,2.38,2.25,1500,793,0.3574,0.4564,0.05827,-2.345,0.0755
2026-08-04 13:45:16,713.2,2026-08-04,715.0,1.95,1.97,1.87,1302,903,0.3626,0.4004,0.05596,-1.96,0.0736
2026-08-04 13:45:16,713.2,2026-08-04,716.0,1.54,1.55,0.07,352,322,0.3561,0.3431,0.05422,-1.545,0.07
2026-08-04 13:45:16,713.2,2026-08-04,717.0,1.19,1.2,1.14,879,729,0.3504,0.2878,0.0511,-1.195,0.0649
2026-08-04 13:45:16,713.2,2026-08-04,718.0,0.91,0.92,0.84,229,182,0.3471,0.237,0.04672,-0.915,0.0588
2026-08-04 13:45:16,713.2,2026-08-04,719.0,0.7,0.71,0.62,515,72,0.3474,0.1935,0.04147,-0.705,0.0523
2026-08-04 13:45:16,713.2,2026-08-04,720.0,0.53,0.54,0.42,585,831,0.3478,0.1553,0.03603,-0.535,0.0454
2026-08-04 13:45:16,713.2,2026-08-04,721.0,0.4,0.41,0.37,663,53,0.3494,0.1234,0.03067,-0.405,0.0389
2026-08-04 13:45:16,713.2,2026-08-04,722.0,0.27,0.28,0.02,3,58,0.3423,0.0911,0.02514,-0.275,0.0312
2026-08-04 13:45:16,713.2,2026-08-04,723.0,0.24,0.25,0.03,7,117,0.3604,0.0792,0.0215,-0.245,0.0281
2026-08-04 13:45:16,713.2,2026-08-04,724.0,0.15,0.16,0.18,11,49,0.3503,0.0549,0.01666,-0.155,0.0212
2026-08-04 13:45:16,713.2,2026-08-04,725.0,0.11,0.16,0.13,139,356,0.3654,0.0471,0.01412,-0.135,0.0187
2026-08-04 13:45:16,713.2,2026-08-04,726.0,0.09,0.14,0.02,30,136,0.3781,0.0397,0.0119,-0.115,0.0163
2026-08-04 13:45:16,713.2,2026-08-04,727.0,0.1,0.11,0.03,2,72,0.3953,0.0353,0.01034,-0.105,0.0148
2026-08-04 13:45:16,713.2,2026-08-04,728.0,0.09,0.1,0.01,200,207,0.4112,0.0313,0.00899,-0.095,0.0134
2026-08-04 13:50:18,714.35,2026-08-04,700.0,14.24,14.46,14.24,1011,2373,,,,,
2026-08-04 13:50:18,714.35,2026-08-04,701.0,13.3,14.08,12.55,853,419,0.4975,0.9249,0.01504,-0.34,0.0268
2026-08-04 13:50:18,714.35,2026-08-04,702.0,11.71,12.69,11.51,1224,682,,,,,
2026-08-04 13:50:18,714.35,2026-08-04,703.0,11.36,12.05,11.12,1079,799,0.4446,0.9142,0.01861,-0.355,0.0297
2026-08-04 13:50:18,714.35,2026-08-04,704.0,10.48,10.89,10.73,481,597,0.4083,0.9124,0.02057,-0.335,0.0301
2026-08-04 13:50:18,714.35,2026-08-04,705.0,9.76,10.05,9.79,1747,2415,0.44,0.8723,0.02506,-0.555,0.0396
2026-08-04 13:50:18,714.35,2026-08-04,706.0,8.71,8.8,8.85,1321,704,0.3683,0.8872,0.02744,-0.405,0.0363
2026-08-04 13:50:18,714.35,2026-08-04,707.0,7.98,8.05,7.83,1861,756,0.3975,0.8387,0.03248,-0.665,0.0463
2026-08-04 13:50:18,714.35,2026-08-04,708.0,7.01,7.09,7.11,2602,570,0.3688,0.8214,0.03737,-0.7,0.0495
2026-08-04 13:50:18,714.35,2026-08-04,709.0,6.34,6.4,6.34,6690,2322,0.3898,0.7689,0.04123,-1.02,0.0577
2026-08-04 13:50:18,714.35,2026-08-04,710.0,5.56,5.62,5.56,17018,3340,0.3841,0.7283,0.04558,-1.24,0.0628
2026-08-04 13:50:18,714.35,2026-08-04,711.0,4.63,4.72,4.63,13656,1562,0.3522,0.6954,0.05247,-1.325,0.0663
2026-08-04 13:50:18,714.35,2026-08-04,712.0,3.96,4.059,3.96,15151,470,0.3521,0.6409,0.05603,-1.6595,0.0708
2026-08-04 13:50:18,714.35,2026-08-04,713.0,3.4,3.41,3.4,11047,367,0.3527,0.5832,0.0584,-2.055,0.0739
2026-08-04 13:50:18,714.35,2026-08-04,714.0,2.74,2.79,2.74,8960,793,0.3408,0.5248,0.06167,-2.415,0.0754
2026-08-04 13:50:18,714.35,2026-08-04,715.0,2.22,2.24,2.22,14419,903,0.3348,0.4623,0.06261,-2.23,0.0752
2026-08-04 13:50:18,714.35,2026-08-04,716.0,1.78,1.81,1.8,9034,322,0.3338,0.4002,0.06109,-1.795,0.0732
2026-08-04 13:50:18,714.35,2026-08-04,717.0,1.37,1.43,1.37,12022,729,0.3298,0.3389,0.05857,-1.4,0.0693
2026-08-04 13:50:18,714.35,2026-08-04,718.0,1.09,1.1,1.09,11286,182,0.3302,0.2829,0.05409,-1.095,0.0641
2026-08-04 13:50:18,714.35,2026-08-04,719.0,0.8,0.85,0.8,5485,72,0.3274,0.2298,0.04893,-0.825,0.0575
2026-08-04 13:50:18,714.35,2026-08-04,720.0,0.64,0.65,0.64,10196,831,0.3321,0.1877,0.0428,-0.645,0.051
2026-08-04 13:50:18,714.35,2026-08-04,721.0,0.48,0.49,0.49,2692,53,0.3333,0.1491,0.03677,-0.485,0.044
2026-08-04 13:50:18,714.35,2026-08-04,722.0,0.36,0.38,0.36,1424,58,0.3373,0.1185,0.03101,-0.37,0.0376
2026-08-04 13:50:18,714.35,2026-08-04,723.0,0.28,0.29,0.28,1633,117,0.3429,0.0941,0.02584,-0.285,0.0318
2026-08-04 13:50:18,714.35,2026-08-04,724.0,0.18,0.19,0.2,551,49,0.3353,0.0667,0.02035,-0.185,0.0245
2026-08-04 13:50:18,714.35,2026-08-04,725.0,0.18,0.19,0.18,4082,356,0.3618,0.0625,0.01794,-0.185,0.0233
