run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-08-05 19:15:18,721.25,2026-08-05,715.0,0.04,0.05,0.05,101675,419,0.5156,-0.0333,0.02165,-0.045,0.0049
2026-08-05 19:15:18,721.25,2026-08-05,716.0,0.02,0.03,0.03,117025,6,0.4036,-0.0247,0.02153,-0.025,0.0038
2026-08-05 19:15:18,721.25,2026-08-05,717.0,0.03,0.04,0.04,120518,5,0.3587,-0.0368,0.03372,-0.035,0.0053
2026-08-05 19:15:18,721.25,2026-08-05,718.0,0.12,0.13,0.13,161135,4,0.3866,-0.1021,0.0693,-0.125,0.0118
2026-08-05 19:15:18,721.25,2026-08-05,719.0,0.21,0.22,0.22,140087,6,0.3559,-0.1698,0.10684,-0.215,0.0168
2026-08-05 19:15:18,721.25,2026-08-05,720.0,0.36,0.41,0.41,351770,21,0.3289,-0.2828,0.15462,-0.385,0.0225
2026-08-05 19:15:18,721.25,2026-08-05,721.0,0.69,0.76,0.77,232316,,0.3187,-0.452,0.18688,-0.725,0.0263
2026-08-05 19:15:18,721.25,2026-08-05,722.0,1.27,1.29,1.29,196133,,0.322,-0.6358,0.17537,-0.53,0.025
2026-08-05 19:15:18,721.25,2026-08-05,723.0,2.02,2.04,2.04,140288,15,0.3383,-0.7806,0.1314,-0.28,0.0197
2026-08-05 19:15:18,721.25,2026-08-05,724.0,2.87,3.01,2.98,98288,2,0.3892,-0.8549,0.0881,-0.19,0.0152
2026-08-05 19:15:18,721.25,2026-08-05,725.0,3.69,3.94,3.85,90255,,0.3681,-0.9364,0.05094,-0.065,0.0083
2026-08-05 19:15:18,721.25,2026-08-05,726.0,4.63,5.05,4.96,70809,,0.4742,-0.933,0.04118,-0.09,0.0086
2026-08-05 19:15:18,721.25,2026-08-05,727.0,5.78,6.12,5.97,41661,,0.6633,-0.9023,0.03912,-0.2,0.0115
2026-08-05 19:15:18,721.25,2026-08-05,728.0,6.71,6.93,6.92,19543,,0.5941,-0.9551,0.02393,-0.07,0.0063
