run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-09-04 13:45:18,720.01,2026-09-04,706.0,13.93,14.25,11.85,1473,1627,0.3674,0.9779,0.00747,-0.08,0.0101
2026-09-04 13:45:18,720.01,2026-09-04,707.0,12.75,13.45,12.83,13,2416,0.3539,0.9737,0.00897,-0.09,0.0117
2026-09-04 13:45:18,720.01,2026-09-04,708.0,11.98,12.32,9.82,3,2596,0.3649,0.9586,0.01264,-0.14,0.017
2026-09-04 13:45:18,720.01,2026-09-04,709.0,10.84,11.21,10.64,18,1951,,,,,
2026-09-04 13:45:18,720.01,2026-09-04,710.0,10.02,10.17,10.11,19,9862,0.2804,0.9698,0.01269,-0.085,0.0131
2026-09-04 13:45:18,720.01,2026-09-04,711.0,8.82,9.48,7.19,12101,3352,0.2892,0.9494,0.01874,-0.14,0.02
2026-09-04 13:45:18,720.01,2026-09-04,712.0,7.93,8.18,8.13,8,3831,0.1982,0.9831,0.011,-0.045,0.0081
2026-09-04 13:45:18,720.01,2026-09-04,712.5,7.42,7.57,5.96,11385,1894,,,,,
2026-09-04 13:45:18,720.01,2026-09-04,713.0,6.99,7.21,7.15,6,3060,0.2119,0.9588,0.02165,-0.09,0.017
2026-09-04 13:45:18,720.01,2026-09-04,714.0,6.07,6.24,6.11,45,2422,0.2122,0.9316,0.03233,-0.145,0.0253
2026-09-04 13:45:18,720.01,2026-09-04,715.0,5.19,5.35,5.28,151,14659,0.2197,0.8847,0.04605,-0.26,0.0374
2026-09-04 13:45:18,720.01,2026-09-04,716.0,4.3,4.41,4.54,45,1656,0.2075,0.8452,0.05967,-0.345,0.0458
2026-09-04 13:45:18,720.01,2026-09-04,717.0,3.58,3.73,3.66,118,2246,0.2265,0.7583,0.07167,-0.645,0.06
2026-09-04 13:45:18,720.01,2026-09-04,717.5,3.26,3.29,3.26,129,749,0.2248,0.7224,0.07758,-0.765,0.0644
2026-09-04 13:45:18,720.01,2026-09-04,718.0,2.88,2.9,2.94,439,3798,0.2197,0.6861,0.08399,-0.88,0.0682
2026-09-04 13:45:18,720.01,2026-09-04,719.0,2.18,2.19,2.18,1028,2407,0.211,0.6016,0.09516,-1.175,0.0742
2026-09-04 13:45:18,720.01,2026-09-04,720.0,1.66,1.68,1.66,1507,12659,0.2157,0.5042,0.09622,-1.66,0.0767
2026-09-04 13:45:18,720.01,2026-09-04,721.0,1.18,1.2,1.18,1354,1903,0.2122,0.4074,0.09516,-1.19,0.0746
2026-09-04 13:45:18,720.01,2026-09-04,722.0,0.81,0.83,0.83,1047,5543,0.2106,0.3147,0.08772,-0.82,0.0683
2026-09-04 13:45:18,720.01,2026-09-04,722.5,0.63,0.65,0.65,376,6132,0.2051,0.267,0.08337,-0.64,0.0632
2026-09-04 13:45:18,720.01,2026-09-04,723.0,0.55,0.56,0.54,290,1919,0.2116,0.2341,0.0754,-0.555,0.059
2026-09-04 13:45:18,720.01,2026-09-04,724.0,0.31,0.36,0.36,979,1607,0.2068,0.1604,0.06132,-0.335,0.0469
2026-09-04 13:45:18,720.01,2026-09-04,725.0,0.18,0.23,0.23,1700,7558,0.2071,0.1074,0.04641,-0.205,0.0355
2026-09-04 13:45:18,720.01,2026-09-04,726.0,0.1,0.11,0.16,767,3052,0.2013,0.0627,0.03184,-0.105,0.0237
2026-09-04 13:45:18,720.01,2026-09-04,727.0,0.06,0.11,0.11,1438,1583,0.2175,0.0489,0.02424,-0.085,0.0195
2026-09-04 13:45:18,720.01,2026-09-04,727.5,0.04,0.09,0.05,512,1633,0.2184,0.0386,0.01996,-0.065,0.0161
2026-09-04 13:45:18,720.01,2026-09-04,728.0,0.07,0.08,0.08,571,1575,0.2363,0.0409,0.0193,-0.075,0.0169
2026-09-04 13:45:18,720.01,2026-09-04,729.0,0.01,0.02,0.02,83,1671,0.2029,0.0112,0.00756,-0.015,0.0057
2026-09-04 13:45:18,720.01,2026-09-04,730.0,0.01,0.05,0.05,1779,6652,0.2444,0.0177,0.00929,-0.03,0.0084
2026-09-04 13:45:18,720.01,2026-09-04,731.0,0.03,0.04,0.04,130,4667,0.271,0.0185,0.0087,-0.035,0.0087
2026-09-04 13:45:18,720.01,2026-09-04,732.0,0.03,0.04,0.04,76,1101,0.2918,0.0173,0.00764,-0.035,0.0082
2026-09-04 13:45:18,720.01,2026-09-04,732.5,0.01,0.04,0.03,2,1179,0.2882,0.013,0.00603,-0.025,0.0064
2026-09-04 13:45:18,720.01,2026-09-04,733.0,0.03,0.04,0.03,27,2071,0.3123,0.0163,0.00678,-0.035,0.0078
2026-09-04 13:45:18,720.01,2026-09-04,734.0,0,0.03,0.01,45,2025,0.2842,0.0057,0.00299,-0.01,0.0031
2026-09-04 13:45:18,720.01,2026-09-04,735.0,0,0.01,0.01,45,29798,0.302,0.0054,0.00268,-0.01,0.003
2026-09-04 13:46:19,719.46,2026-09-04,705.0,14.06,15.4,14.95,1,3738,0.4939,0.9395,0.01265,-0.27,0.023
2026-09-04 13:46:19,719.46,2026-09-04,706.0,13.27,14,11.85,1473,1627,0.4219,0.9542,0.01188,-0.175,0.0184
2026-09-04 13:46:19,719.46,2026-09-04,707.0,12.36,13.15,12.24,13,2416,0.4492,0.9288,0.01578,-0.295,0.0261
2026-09-04 13:46:19,719.46,2026-09-04,708.0,11.86,11.98,11.37,3,2596,0.475,0.8991,0.01938,-0.46,0.0339
2026-09-04 13:46:19,719.46,2026-09-04,709.0,10.13,10.81,10.64,25,1951,,,,,
2026-09-04 13:46:19,719.46,2026-09-04,710.0,9.39,9.8,9.26,48,9862,0.2988,0.9525,0.01728,-0.135,0.019
2026-09-04 13:46:19,719.46,2026-09-04,711.0,8.57,8.94,7.19,1,3352,0.3347,0.9088,0.02555,-0.295,0.0315
2026-09-04 13:46:19,719.46,2026-09-04,712.0,8,8.109,7.79,11,3831,0.3809,0.8495,0.03198,-0.5945,0.0448
2026-09-04 13:46:19,719.46,2026-09-04,712.5,7.28,7.57,5.96,11385,1894,0.3343,0.864,0.03403,-0.465,0.0419
2026-09-04 13:46:19,719.46,2026-09-04,713.0,6.96,7.07,6.77,8,3060,0.3379,0.8435,0.03699,-0.555,0.046
2026-09-04 13:46:19,719.46,2026-09-04,714.0,5.89,6.15,5.82,73,2422,0.304,0.8284,0.04366,-0.56,0.0488
2026-09-04 13:46:19,719.46,2026-09-04,715.0,5.19,5.24,5.06,204,14659,0.3036,0.7811,0.05069,-0.755,0.0566
2026-09-04 13:46:19,719.46,2026-09-04,716.0,4.29,4.33,4.12,55,1656,0.2792,0.7439,0.06008,-0.85,0.0617
2026-09-04 13:46:19,719.46,2026-09-04,717.0,3.56,3.59,3.44,250,2246,0.2756,0.6822,0.06745,-1.115,0.0684
2026-09-04 13:46:19,719.46,2026-09-04,717.5,3.07,3.13,3,313,749,0.2553,0.6586,0.07494,-1.14,0.0704
2026-09-04 13:46:19,719.46,2026-09-04,718.0,2.83,2.86,2.77,1253,3798,0.264,0.6166,0.0754,-1.385,0.0732
2026-09-04 13:46:19,719.46,2026-09-04,719.0,2.12,2.18,2.12,2686,2407,0.2483,0.5416,0.08331,-1.69,0.0761
2026-09-04 13:46:19,719.46,2026-09-04,720.0,1.58,1.61,1.58,3893,12659,0.2407,0.4566,0.0859,-1.595,0.0761
2026-09-04 13:46:19,719.46,2026-09-04,721.0,1.13,1.14,1.12,2421,1903,0.234,0.3689,0.08403,-1.135,0.0724
2026-09-04 13:46:19,719.46,2026-09-04,722.0,0.73,0.74,0.72,2361,5543,0.2226,0.2791,0.0787,-0.735,0.0645
2026-09-04 13:46:19,719.46,2026-09-04,722.5,0.57,0.62,0.56,2326,6132,0.2208,0.2394,0.07331,-0.595,0.0596
2026-09-04 13:46:19,719.46,2026-09-04,723.0,0.5,0.51,0.48,508,1919,0.2244,0.2083,0.06663,-0.505,0.055
2026-09-04 13:46:19,719.46,2026-09-04,724.0,0.32,0.33,0.32,1336,1607,0.2234,0.1474,0.05376,-0.325,0.0442
2026-09-04 13:46:19,719.46,2026-09-04,725.0,0.19,0.2,0.2,2534,7558,0.2209,0.0978,0.04075,-0.195,0.0331
2026-09-04 13:46:19,719.46,2026-09-04,726.0,0.12,0.13,0.13,1371,3052,0.2245,0.0664,0.02992,-0.125,0.0247
2026-09-04 13:46:19,719.46,2026-09-04,727.0,0.08,0.09,0.09,1667,1583,0.2316,0.0464,0.02188,-0.085,0.0186
2026-09-04 13:46:19,719.46,2026-09-04,727.5,0.03,0.08,0.08,581,1633,0.225,0.0326,0.01688,-0.055,0.014
2026-09-04 13:46:19,719.46,2026-09-04,728.0,0.06,0.07,0.03,861,1575,0.2435,0.0352,0.01662,-0.065,0.0149
2026-09-04 13:46:19,719.46,2026-09-04,729.0,0.01,0.05,0.05,165,1671,0.2355,0.0183,0.00995,-0.03,0.0086
2026-09-04 13:46:19,719.46,2026-09-04,730.0,0.01,0.02,0.04,2266,6652,0.2333,0.0099,0.00591,-0.015,0.0051
2026-09-04 13:46:19,719.46,2026-09-04,731.0,0.03,0.04,0.03,146,4667,0.2831,0.0178,0.00809,-0.035,0.0084
2026-09-04 13:46:19,719.46,2026-09-04,732.0,0.01,0.04,0.03,239,1101,0.2898,0.0129,0.00599,-0.025,0.0064
2026-09-04 13:46:19,719.46,2026-09-04,732.5,0.03,0.04,0.03,2,1179,0.314,0.0163,0.00674,-0.035,0.0078
2026-09-04 13:46:19,719.46,2026-09-04,733.0,0,0.03,0.03,57,2071,0.3173,0.014,0.00588,-0.03,0.0069
