run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-08-18 19:15:28,717.3,2026-08-18,711.0,0.01,0.02,0.01,24003,311,0.44,-0.0146,0.01273,-0.015,0.0024
2026-08-18 19:15:28,717.3,2026-08-18,712.0,0.03,0.04,0.02,38858,337,0.4335,-0.0313,0.02465,-0.035,0.0047
2026-08-18 19:15:28,717.3,2026-08-18,713.0,0.03,0.04,0.03,50499,249,0.3648,-0.0365,0.03317,-0.035,0.0053
2026-08-18 19:15:28,717.3,2026-08-18,714.0,0.01,0.02,0.05,79252,555,0.2534,-0.0239,0.03359,-0.015,0.0037
2026-08-18 19:15:28,717.3,2026-08-18,715.0,0.08,0.09,0.09,264946,1474,0.2725,-0.0997,0.09735,-0.085,0.0116
2026-08-18 19:15:28,717.3,2026-08-18,716.0,0.16,0.17,0.17,256722,2129,0.2304,-0.1954,0.18148,-0.165,0.0182
2026-08-18 19:15:28,717.3,2026-08-18,717.0,0.39,0.4,0.4,421523,685,0.2023,-0.41,0.29108,-0.395,0.0257
2026-08-18 19:15:28,717.3,2026-08-18,718.0,0.93,0.95,0.95,499110,999,0.1967,-0.7039,0.2661,-0.24,0.0228
2026-08-18 19:15:28,717.3,2026-08-18,719.0,1.76,1.84,1.8,322053,369,0.2312,-0.8665,0.14121,-0.1,0.0142
2026-08-18 19:15:28,717.3,2026-08-18,720.0,2.64,2.77,2.72,191163,2039,0.1918,-0.9832,0.03291,-0.005,0.0028
2026-08-18 19:15:28,717.3,2026-08-18,721.0,3.61,3.75,3.73,45597,345,,,,,
2026-08-18 19:15:28,717.3,2026-08-18,722.0,4.66,4.71,4.76,24182,635,,,,,
2026-08-18 19:15:28,717.3,2026-08-18,723.0,5.59,5.75,5.65,9454,912,,,,,
2026-08-18 19:15:28,717.3,2026-08-18,724.0,6.51,6.7,6.49,4695,811,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,711.0,0.03,0.04,0.03,24012,311,0.503,-0.0278,0.01945,-0.035,0.0042
2026-08-18 19:16:30,717.25,2026-08-18,712.0,0.03,0.04,0.02,38873,337,0.4349,-0.0316,0.02502,-0.035,0.0046
2026-08-18 19:16:30,717.25,2026-08-18,713.0,0.03,0.04,0.02,50505,249,0.3653,-0.0368,0.03378,-0.035,0.0053
2026-08-18 19:16:30,717.25,2026-08-18,714.0,0.01,0.02,0.02,79276,555,0.2528,-0.0242,0.03443,-0.015,0.0037
2026-08-18 19:16:30,717.25,2026-08-18,715.0,0.03,0.04,0.08,265036,1474,0.2188,-0.0573,0.0805,-0.035,0.0075
2026-08-18 19:16:30,717.25,2026-08-18,716.0,0.15,0.16,0.12,257278,2129,0.2216,-0.1936,0.18987,-0.155,0.0179
2026-08-18 19:16:30,717.25,2026-08-18,717.0,0.33,0.38,0.38,422982,685,0.18,-0.4162,0.3322,-0.355,0.0255
2026-08-18 19:16:30,717.25,2026-08-18,718.0,0.87,0.94,0.92,499902,999,0.1642,-0.7585,0.29125,-0.15,0.0204
2026-08-18 19:16:30,717.25,2026-08-18,719.0,1.68,1.81,1.81,322160,369,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,720.0,2.59,2.76,2.75,191201,2039,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,721.0,3.68,3.78,3.73,45598,345,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,722.0,4.63,4.73,4.76,24183,635,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,723.0,5.55,5.71,5.72,9454,912,,,,,
2026-08-18 19:16:30,717.25,2026-08-18,724.0,6.42,6.79,6.49,4695,811,,,,,
2026-08-18 19:17:31,717.29,2026-08-18,711.0,0.01,0.02,0.03,24012,311,0.4499,-0.0146,0.01276,-0.015,0.0024
2026-08-18 19:17:31,717.29,2026-08-18,712.0,0.03,0.04,0.02,38875,337,0.4432,-0.0314,0.02472,-0.035,0.0046
2026-08-18 19:17:31,717.29,2026-08-18,713.0,0.03,0.04,0.02,50561,249,0.3728,-0.0365,0.03328,-0.035,0.0052
2026-08-18 19:17:31,717.29,2026-08-18,714.0,0.01,0.02,0.05,79329,555,0.2588,-0.0239,0.03374,-0.015,0.0036
2026-08-18 19:17:31,717.29,2026-08-18,715.0,0.07,0.08,0.08,265250,1474,0.2691,-0.0926,0.09562,-0.075,0.0107
2026-08-18 19:17:31,717.29,2026-08-18,716.0,0.14,0.15,0.15,257835,2129,0.2234,-0.1843,0.18488,-0.145,0.0172
2026-08-18 19:17:31,717.29,2026-08-18,717.0,0.34,0.39,0.39,424533,685,0.1935,-0.407,0.31103,-0.365,0.025
2026-08-18 19:17:31,717.29,2026-08-18,718.0,0.9,0.92,0.94,500847,999,0.1845,-0.7237,0.28122,-0.2,0.0216
2026-08-18 19:17:31,717.29,2026-08-18,719.0,1.73,1.83,1.72,322465,369,0.2145,-0.8911,0.135,-0.07,0.012
2026-08-18 19:17:31,717.29,2026-08-18,720.0,2.7,2.8,2.7,191387,2039,0.2663,-0.9421,0.06746,-0.04,0.0075
2026-08-18 19:17:31,717.29,2026-08-18,721.0,3.65,3.87,3.61,45616,345,0.3566,-0.946,0.04772,-0.05,0.0071
2026-08-18 19:17:31,717.29,2026-08-18,722.0,4.73,4.88,4.7,24189,635,0.4917,-0.9303,0.04222,-0.095,0.0086
2026-08-18 19:17:31,717.29,2026-08-18,723.0,5.6,5.83,5.72,9455,912,0.3742,-0.9907,0.01034,-0.005,0.0016
2026-08-18 19:17:31,717.29,2026-08-18,724.0,6.53,6.97,6.49,4696,811,0.553,-0.9693,0.01947,-0.04,0.0045
2026-08-18 19:18:33,717.18,2026-08-18,711.0,0.01,0.02,0.03,24045,311,0.449,-0.0148,0.01309,-0.015,0.0024
2026-08-18 19:18:33,717.18,2026-08-18,712.0,0.03,0.04,0.03,38898,337,0.4413,-0.0318,0.02544,-0.035,0.0046
2026-08-18 19:18:33,717.18,2026-08-18,713.0,0.01,0.02,0.04,50646,249,0.3212,-0.02,0.02363,-0.015,0.0031
2026-08-18 19:18:33,717.18,2026-08-18,714.0,0.04,0.05,0.02,79336,555,0.3117,-0.0536,0.05491,-0.045,0.0069
2026-08-18 19:18:33,717.18,2026-08-18,715.0,0.03,0.08,0.08,265567,1474,0.2433,-0.0785,0.09461,-0.055,0.0093
2026-08-18 19:18:33,717.18,2026-08-18,716.0,0.16,0.17,0.17,258699,2129,0.2259,-0.2041,0.19698,-0.165,0.018
2026-08-18 19:18:33,717.18,2026-08-18,717.0,0.38,0.43,0.43,425755,685,0.1941,-0.4394,0.31902,-0.405,0.0251
2026-08-18 19:18:33,717.18,2026-08-18,718.0,1.02,1.04,0.96,501971,999,0.2073,-0.7304,0.25021,-0.215,0.021
2026-08-18 19:18:33,717.18,2026-08-18,719.0,1.82,1.88,1.8,322516,369,0.1919,-0.9306,0.10913,-0.035,0.0085
2026-08-18 19:18:33,717.18,2026-08-18,720.0,2.71,2.82,2.76,191433,2039,,,,,
2026-08-18 19:18:33,717.18,2026-08-18,721.0,3.75,3.87,3.79,45616,345,,,,,
2026-08-18 19:18:33,717.18,2026-08-18,722.0,4.76,4.88,4.8,24190,635,0.3263,-0.9895,0.01342,-0.005,0.0018
2026-08-18 19:18:33,717.18,2026-08-18,723.0,5.68,5.93,5.83,9459,912,,,,,
2026-08-18 19:18:33,717.18,2026-08-18,724.0,6.61,6.93,6.77,4699,811,,,,,
2026-08-18 19:19:34,717.21,2026-08-18,711.0,0.03,0.04,0.01,24085,311,0.5193,-0.0279,0.01961,-0.035,0.004
2026-08-18 19:19:34,717.21,2026-08-18,712.0,0.01,0.04,0.03,38901,337,0.4241,-0.0248,0.02177,-0.025,0.0037
2026-08-18 19:19:34,717.21,2026-08-18,713.0,0.03,0.04,0.04,50647,249,0.3764,-0.037,0.03417,-0.035,0.0051
2026-08-18 19:19:34,717.21,2026-08-18,714.0,0.04,0.05,0.04,79344,555,0.3175,-0.0533,0.05435,-0.045,0.0068
2026-08-18 19:19:34,717.21,2026-08-18,715.0,0.07,0.08,0.04,265703,1474,0.2687,-0.0947,0.09978,-0.075,0.0106
2026-08-18 19:19:34,717.21,2026-08-18,716.0,0.1,0.11,0.11,258858,2129,0.1955,-0.1617,0.19921,-0.105,0.0154
2026-08-18 19:19:34,717.21,2026-08-18,717.0,0.37,0.42,0.42,427457,685,0.1969,-0.4316,0.31742,-0.395,0.0247
2026-08-18 19:19:34,717.21,2026-08-18,718.0,0.94,1,1,502783,999,0.1896,-0.7451,0.26916,-0.18,0.0202
2026-08-18 19:19:34,717.21,2026-08-18,719.0,1.81,1.87,1.82,322565,369,0.2085,-0.9132,0.12056,-0.05,0.0099
2026-08-18 19:19:34,717.21,2026-08-18,720.0,2.72,2.82,2.75,191500,2039,,,,,
2026-08-18 19:19:34,717.21,2026-08-18,721.0,3.78,3.85,3.77,45655,345,0.3282,-0.9663,0.03631,-0.025,0.0047
2026-08-18 19:19:34,717.21,2026-08-18,722.0,4.77,4.93,4.8,24190,635,0.4637,-0.9489,0.03599,-0.06,0.0066
2026-08-18 19:19:34,717.21,2026-08-18,723.0,5.77,6.02,5.83,9469,912,0.604,-0.9351,0.03334,-0.105,0.008
2026-08-18 19:19:34,717.21,2026-08-18,724.0,6.74,7.02,6.77,4699,811,0.6623,-0.9473,0.02583,-0.09,0.0068
2026-08-18 19:20:36,717.25,2026-08-18,711.0,0.01,0.02,0.02,24090,311,0.4646,-0.0147,0.01288,-0.015,0.0023
2026-08-18 19:20:36,717.25,2026-08-18,712.0,0.01,0.04,0.03,38902,337,0.4323,-0.0247,0.02153,-0.025,0.0036
2026-08-18 19:20:36,717.25,2026-08-18,713.0,0.03,0.04,0.03,50649,249,0.3842,-0.0368,0.03372,-0.035,0.005
2026-08-18 19:20:36,717.25,2026-08-18,714.0,0.01,0.05,0.05,79364,555,0.2999,-0.0399,0.04618,-0.03,0.0053
2026-08-18 19:20:36,717.25,2026-08-18,715.0,0.02,0.07,0.07,265778,1474,0.2434,-0.0677,0.08653,-0.045,0.0081
2026-08-18 19:20:36,717.25,2026-08-18,716.0,0.14,0.15,0.15,259272,2129,0.2274,-0.1871,0.19036,-0.145,0.0167
2026-08-18 19:20:36,717.25,2026-08-18,717.0,0.34,0.39,0.39,428936,685,0.1941,-0.4167,0.32383,-0.365,0.0242
2026-08-18 19:20:36,717.25,2026-08-18,718.0,0.94,0.96,0.96,503662,999,0.1968,-0.7293,0.27096,-0.2,0.0206
2026-08-18 19:20:36,717.25,2026-08-18,719.0,1.77,1.78,1.85,322672,369,0.1784,-0.9423,0.10422,-0.025,0.0072
2026-08-18 19:20:36,717.25,2026-08-18,720.0,2.68,2.83,2.76,191586,2039,0.2059,-0.984,0.03135,-0.005,0.0025
2026-08-18 19:20:36,717.25,2026-08-18,721.0,3.63,3.86,3.77,45656,345,,,,,
2026-08-18 19:20:36,717.25,2026-08-18,722.0,4.63,4.89,4.78,24216,635,0.354,-0.9843,0.01795,-0.01,0.0025
2026-08-18 19:20:36,717.25,2026-08-18,723.0,5.61,5.89,5.75,9469,912,0.3426,-0.9964,0.00504,0.0,0.0007
2026-08-18 19:20:36,717.25,2026-08-18,724.0,6.59,6.84,6.77,4709,811,,,,,
2026-08-18 19:21:40,717.18,2026-08-18,711.0,0.01,0.02,0.02,24090,311,0.4668,-0.0148,0.01309,-0.015,0.0023
2026-08-18 19:21:40,717.18,2026-08-18,712.0,0.01,0.02,0.03,38915,337,0.4011,-0.017,0.01712,-0.015,0.0026
2026-08-18 19:21:40,717.18,2026-08-18,713.0,0.01,0.02,0.03,50662,249,0.334,-0.02,0.02363,-0.015,0.003
2026-08-18 19:21:40,717.18,2026-08-18,714.0,0.01,0.05,0.02,79390,555,0.2991,-0.0405,0.04749,-0.03,0.0053
2026-08-18 19:21:40,717.18,2026-08-18,715.0,0.06,0.07,0.07,266274,1474,0.2636,-0.0873,0.09829,-0.065,0.0097
2026-08-18 19:21:40,717.18,2026-08-18,716.0,0.15,0.16,0.12,259638,2129,0.2291,-0.1982,0.19849,-0.155,0.0171
2026-08-18 19:21:40,717.18,2026-08-18,717.0,0.36,0.41,0.41,430011,685,0.1935,-0.4369,0.33241,-0.385,0.0241
2026-08-18 19:21:40,717.18,2026-08-18,718.0,0.98,1.02,1.01,504058,999,0.2005,-0.7456,0.2612,-0.185,0.0196
2026-08-18 19:21:40,717.18,2026-08-18,719.0,1.86,1.91,1.8,322756,369,0.2355,-0.8951,0.12596,-0.07,0.0111
2026-08-18 19:21:40,717.18,2026-08-18,720.0,2.8,2.9,2.84,191642,2039,0.281,-0.9484,0.06143,-0.035,0.0065
2026-08-18 19:21:40,717.18,2026-08-18,721.0,3.72,3.92,3.86,45662,345,0.2764,-0.9876,0.01895,-0.005,0.002
2026-08-18 19:21:40,717.18,2026-08-18,722.0,4.63,4.85,4.86,24216,635,,,,,
2026-08-18 19:21:40,717.18,2026-08-18,723.0,5.83,5.94,5.77,9470,912,0.5722,-0.9505,0.0292,-0.07,0.0063
2026-08-18 19:21:40,717.18,2026-08-18,724.0,6.56,6.82,6.76,4709,811,,,,,
2026-08-18 19:22:42,717.47,2026-08-18,711.0,0.03,0.04,0.02,24092,311,0.5593,-0.0271,0.01848,-0.035,0.0038
2026-08-18 19:22:42,717.47,2026-08-18,712.0,0.01,0.04,0.03,38917,337,0.4598,-0.0239,0.02027,-0.025,0.0034
2026-08-18 19:22:42,717.47,2026-08-18,713.0,0.03,0.04,0.03,50679,249,0.4114,-0.0355,0.03141,-0.035,0.0047
2026-08-18 19:22:42,717.47,2026-08-18,714.0,0.01,0.02,0.05,79413,555,0.2887,-0.023,0.0312,-0.015,0.0033
2026-08-18 19:22:42,717.47,2026-08-18,715.0,0.05,0.06,0.06,266836,1474,0.2815,-0.0726,0.08114,-0.055,0.0083
2026-08-18 19:22:42,717.47,2026-08-18,716.0,0.11,0.12,0.12,261118,2129,0.2385,-0.1531,0.16394,-0.115,0.0143
2026-08-18 19:22:42,717.47,2026-08-18,717.0,0.26,0.27,0.27,432124,685,0.1922,-0.3419,0.31605,-0.265,0.0222
2026-08-18 19:22:42,717.47,2026-08-18,718.0,0.81,0.82,0.8,504826,999,0.2106,-0.6604,0.28768,-0.285,0.0221
2026-08-18 19:22:42,717.47,2026-08-18,719.0,1.54,1.63,1.69,322949,369,0.1977,-0.899,0.14786,-0.055,0.0107
2026-08-18 19:22:42,717.47,2026-08-18,720.0,2.58,2.68,2.68,191700,2039,0.3339,-0.8942,0.09062,-0.1,0.0111
2026-08-18 19:22:42,717.47,2026-08-18,721.0,3.54,3.75,3.54,45706,345,0.4417,-0.906,0.06283,-0.115,0.0101
2026-08-18 19:22:42,717.47,2026-08-18,722.0,4.41,4.77,4.7,24233,635,0.4614,-0.947,0.03872,-0.06,0.0065
2026-08-18 19:22:42,717.47,2026-08-18,723.0,5.57,5.71,5.77,9470,912,0.6127,-0.9312,0.0358,-0.11,0.008
2026-08-18 19:22:42,717.47,2026-08-18,724.0,6.53,6.75,6.55,4719,811,0.6967,-0.9383,0.02893,-0.11,0.0074
2026-08-18 19:23:43,717.5,2026-08-18,711.0,0.01,0.02,0.01,24092,311,0.5004,-0.0142,0.01215,-0.015,0.0022
2026-08-18 19:23:43,717.5,2026-08-18,712.0,0.01,0.04,0.03,38922,337,0.468,-0.0238,0.02013,-0.025,0.0033
2026-08-18 19:23:43,717.5,2026-08-18,713.0,0.03,0.04,0.03,50689,249,0.4191,-0.0353,0.03116,-0.035,0.0046
2026-08-18 19:23:43,717.5,2026-08-18,714.0,0.01,0.04,0.04,79430,555,0.3208,-0.0333,0.03875,-0.025,0.0044
2026-08-18 19:23:43,717.5,2026-08-18,715.0,0.04,0.05,0.05,266950,1474,0.2748,-0.0632,0.07574,-0.045,0.0074
2026-08-18 19:23:43,717.5,2026-08-18,716.0,0.08,0.09,0.09,261768,2129,0.222,-0.1285,0.15859,-0.085,0.0125
2026-08-18 19:23:43,717.5,2026-08-18,717.0,0.27,0.28,0.27,432871,685,0.2034,-0.3405,0.30243,-0.275,0.0219
2026-08-18 19:23:43,717.5,2026-08-18,718.0,0.74,0.8,0.8,505398,999,0.2005,-0.6627,0.30564,-0.265,0.0218
2026-08-18 19:23:43,717.5,2026-08-18,719.0,1.58,1.61,1.63,323029,369,0.2277,-0.8654,0.1596,-0.09,0.0129
2026-08-18 19:23:43,717.5,2026-08-18,720.0,2.52,2.64,2.46,191739,2039,0.3119,-0.9103,0.08712,-0.075,0.0097
2026-08-18 19:23:43,717.5,2026-08-18,721.0,3.45,3.62,3.54,45707,345,0.3346,-0.96,0.04319,-0.03,0.0051
2026-08-18 19:23:43,717.5,2026-08-18,722.0,4.43,4.59,4.7,24233,635,0.3273,-0.9893,0.01453,-0.005,0.0017
2026-08-18 19:23:43,717.5,2026-08-18,723.0,5.45,5.63,5.77,9481,912,0.4966,-0.9679,0.02434,-0.035,0.0043
2026-08-18 19:23:43,717.5,2026-08-18,724.0,6.48,6.63,6.55,4719,811,0.6046,-0.9636,0.02215,-0.05,0.0048
2026-08-18 19:24:45,717.64,2026-08-18,711.0,0.03,0.04,0.01,24092,311,0.5883,-0.0265,0.01777,-0.035,0.0036
