run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-07-17 19:15:15,695.33,2026-07-17,689.0,6.19,6.28,7.89,20423,73,,,,,
2026-07-17 19:15:15,695.33,2026-07-17,690.0,5.15,5.51,6.57,61833,9246,,,,,
2026-07-17 19:15:15,695.33,2026-07-17,691.0,4.37,4.41,5.81,36596,50,0.4155,0.9487,0.03949,-0.06,0.0068
2026-07-17 19:15:15,695.33,2026-07-17,692.0,3.47,3.57,4.72,47993,173,0.4584,0.8724,0.07099,-0.19,0.0134
2026-07-17 19:15:15,695.33,2026-07-17,693.0,2.67,2.7,2.67,63307,160,0.4563,0.7882,0.09894,-0.355,0.0186
2026-07-17 19:15:15,695.33,2026-07-17,694.0,1.96,1.99,2.02,68641,146,0.4662,0.673,0.12064,-0.645,0.0231
2026-07-17 19:15:15,695.33,2026-07-17,695.0,1.32,1.33,1.37,143370,1984,0.4499,0.5467,0.13728,-0.995,0.0254
2026-07-17 19:15:15,695.33,2026-07-17,696.0,0.77,0.78,0.87,140205,291,0.4202,0.403,0.1436,-0.775,0.0248
2026-07-17 19:15:15,695.33,2026-07-17,697.0,0.47,0.48,0.45,169098,177,0.4356,0.2763,0.11967,-0.475,0.0215
2026-07-17 19:15:15,695.33,2026-07-17,698.0,0.2,0.21,0.21,239042,677,0.4038,0.1525,0.09099,-0.205,0.0151
2026-07-17 19:15:15,695.33,2026-07-17,699.0,0.13,0.14,0.14,176030,783,0.4445,0.1001,0.06161,-0.135,0.0113
2026-07-17 19:15:15,695.33,2026-07-17,700.0,0.03,0.08,0.08,413295,11163,0.4342,0.0477,0.03564,-0.055,0.0064
2026-07-17 19:15:15,695.33,2026-07-17,701.0,0.01,0.02,0.05,194302,514,0.4099,0.016,0.01521,-0.015,0.0026
2026-07-17 19:15:15,695.33,2026-07-17,702.0,0.01,0.04,0.04,193907,877,0.5073,0.0208,0.01541,-0.025,0.0032
2026-07-17 19:16:15,695.17,2026-07-17,689.0,6.05,6.25,7.89,20428,73,,,,,
2026-07-17 19:16:15,695.17,2026-07-17,690.0,5.18,5.24,5.5,61833,9246,0.4477,0.9664,0.02629,-0.04,0.0047
2026-07-17 19:16:15,695.17,2026-07-17,691.0,4.25,4.26,5.81,36596,50,0.4412,0.9329,0.04644,-0.085,0.0082
2026-07-17 19:16:15,695.17,2026-07-17,692.0,3.29,3.36,3.56,47993,173,0.4213,0.8834,0.07337,-0.155,0.0124
2026-07-17 19:16:15,695.17,2026-07-17,693.0,2.47,2.57,2.52,63307,160,0.4403,0.7827,0.1053,-0.35,0.0186
2026-07-17 19:16:15,695.17,2026-07-17,694.0,1.84,1.88,1.88,68689,146,0.4678,0.6546,0.12426,-0.69,0.0234
2026-07-17 19:16:15,695.17,2026-07-17,695.0,1.2,1.26,1.32,143447,1984,0.4513,0.5249,0.13912,-1.06,0.0252
2026-07-17 19:16:15,695.17,2026-07-17,696.0,0.72,0.73,0.8,140313,291,0.4302,0.3816,0.13974,-0.725,0.0242
2026-07-17 19:16:15,695.17,2026-07-17,697.0,0.43,0.44,0.44,169729,177,0.4419,0.2581,0.11531,-0.435,0.0205
2026-07-17 19:16:15,695.17,2026-07-17,698.0,0.18,0.19,0.19,240555,677,0.4107,0.1397,0.08534,-0.185,0.0141
2026-07-17 19:16:15,695.17,2026-07-17,699.0,0.07,0.08,0.08,176967,783,0.4015,0.0672,0.05108,-0.075,0.0082
2026-07-17 19:16:15,695.17,2026-07-17,700.0,0.02,0.07,0.07,415223,11163,0.4342,0.0405,0.0316,-0.045,0.0055
2026-07-17 19:16:15,695.17,2026-07-17,701.0,0.04,0.05,0.05,194483,514,0.506,0.0354,0.02433,-0.045,0.0049
2026-07-17 19:16:15,695.17,2026-07-17,702.0,0.01,0.02,0.02,194162,877,0.4863,0.0139,0.01148,-0.015,0.0022
2026-07-17 19:17:16,694.7,2026-07-17,688.0,6.6,6.85,8.43,17547,136,0.5189,0.981,0.01427,-0.025,0.0029
2026-07-17 19:17:16,694.7,2026-07-17,689.0,5.66,5.93,6.05,20428,73,0.585,0.9412,0.03198,-0.095,0.0073
2026-07-17 19:17:16,694.7,2026-07-17,690.0,4.7,4.95,4.95,61835,9246,0.5374,0.9198,0.04423,-0.125,0.0093
2026-07-17 19:17:16,694.7,2026-07-17,691.0,3.81,3.97,5.81,36596,50,0.5056,0.8799,0.0632,-0.19,0.0125
2026-07-17 19:17:16,694.7,2026-07-17,692.0,3.04,3.11,3.56,47993,173,0.5216,0.797,0.08644,-0.375,0.0177
