run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-08-18 13:45:17,719.91,2026-08-18,705.0,0.05,0.1,0.07,91,1050,0.4032,-0.0255,0.00766,-0.075,0.0114
2026-08-18 13:45:17,719.91,2026-08-18,706.0,0.06,0.11,0.1,71,315,0.3883,-0.0294,0.00896,-0.085,0.0129
2026-08-18 13:45:17,719.91,2026-08-18,707.0,0.08,0.13,0.12,300,434,0.3788,-0.0361,0.01089,-0.105,0.0152
2026-08-18 13:45:17,719.91,2026-08-18,708.0,0.14,0.15,0.11,23,288,0.3772,-0.048,0.01377,-0.145,0.0192
2026-08-18 13:45:17,719.91,2026-08-18,709.0,0.17,0.18,0.18,67,261,0.3656,-0.0579,0.01649,-0.175,0.0223
2026-08-18 13:45:17,719.91,2026-08-18,710.0,0.2,0.21,0.18,210,2692,0.3512,-0.0686,0.01959,-0.205,0.0254
2026-08-18 13:45:17,719.91,2026-08-18,711.0,0.21,0.22,0.25,145,311,0.3272,-0.0759,0.02271,-0.215,0.0275
2026-08-18 13:45:17,719.91,2026-08-18,712.0,0.3,0.32,0.33,100,337,0.3288,-0.1027,0.02831,-0.31,0.0344
2026-08-18 13:45:17,719.91,2026-08-18,713.0,0.35,0.4,0.4,101,249,0.3153,-0.1243,0.03384,-0.375,0.0394
2026-08-18 13:45:17,719.91,2026-08-18,714.0,0.48,0.49,0.48,240,555,0.3079,-0.1561,0.04045,-0.485,0.046
2026-08-18 13:45:17,719.91,2026-08-18,715.0,0.61,0.63,0.65,2008,1474,0.2995,-0.1939,0.04773,-0.62,0.0528
2026-08-18 13:45:17,719.91,2026-08-18,716.0,0.77,0.82,0.81,416,2129,0.2918,-0.2398,0.05541,-0.795,0.0597
2026-08-18 13:45:17,719.91,2026-08-18,717.0,1,1.02,1.02,779,685,0.2833,-0.2934,0.06321,-1.01,0.0662
2026-08-18 13:45:17,719.91,2026-08-18,718.0,1.25,1.31,1.3,1184,999,0.2751,-0.3559,0.07047,-1.28,0.0716
2026-08-18 13:45:17,719.91,2026-08-18,719.0,1.62,1.67,1.67,2092,369,0.2711,-0.4276,0.07528,-1.645,0.0754
