run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-07-27 13:45:13,688.48,2026-07-27,674.0,14.49,14.56,11.8,401,,0.349,0.989,0.00453,-0.045,0.0053
2026-07-27 13:45:13,688.48,2026-07-27,675.0,13.01,13.58,11,3,39,,,,,
2026-07-27 13:45:13,688.48,2026-07-27,676.0,12.38,12.84,10.26,126,3,0.3881,0.9619,0.0116,-0.13,0.0152
2026-07-27 13:45:13,688.48,2026-07-27,677.0,11.31,11.53,9.2,1,11,,,,,
2026-07-27 13:45:13,688.48,2026-07-27,678.0,10.64,11.26,8.45,151,19,0.4677,0.892,0.02159,-0.47,0.0341
2026-07-27 13:45:13,688.48,2026-07-27,679.0,9.45,9.57,9.86,2,7,0.2127,0.9928,0.00508,-0.03,0.0037
2026-07-27 13:45:13,688.48,2026-07-27,680.0,8.78,8.89,7.23,6,229,0.3692,0.8971,0.0264,-0.355,0.033
2026-07-27 13:45:13,688.48,2026-07-27,681.0,7.66,7.86,8.05,5,5,0.3144,0.9047,0.0293,-0.28,0.0311
2026-07-27 13:45:13,688.48,2026-07-27,682.0,6.85,7.06,7.24,27,34,0.3349,0.8566,0.03674,-0.475,0.0416
2026-07-27 13:45:13,688.48,2026-07-27,683.0,6.22,6.42,6.39,50,33,0.3741,0.7905,0.04185,-0.84,0.0529
2026-07-27 13:45:13,688.48,2026-07-27,684.0,5.27,5.41,5.62,140,32,0.3368,0.7684,0.04922,-0.86,0.056
2026-07-27 13:45:13,688.48,2026-07-27,685.0,4.69,4.76,4.65,289,438,0.3567,0.7054,0.05258,-1.245,0.0634
2026-07-27 13:45:13,688.48,2026-07-27,686.0,3.84,3.92,3.99,104,90,0.3315,0.6611,0.06004,-1.4,0.0673
2026-07-27 13:45:13,688.48,2026-07-27,687.0,3.15,3.22,3.31,90,74,0.322,0.6019,0.06519,-1.705,0.0709
2026-07-27 13:45:13,688.48,2026-07-27,688.0,2.61,2.62,2.62,341,107,0.3213,0.5355,0.06726,-2.135,0.0731
2026-07-27 13:45:13,688.48,2026-07-27,689.0,2.08,2.11,2.17,206,340,0.3184,0.4677,0.06793,-2.095,0.0731
2026-07-27 13:45:13,688.48,2026-07-27,690.0,1.56,1.62,1.69,562,1699,0.3079,0.3973,0.06813,-1.59,0.0709
2026-07-27 13:45:13,688.48,2026-07-27,691.0,1.16,1.18,1.18,316,482,0.299,0.3264,0.06559,-1.17,0.0663
2026-07-27 13:45:13,688.48,2026-07-27,692.0,0.91,0.92,0.92,1156,900,0.3051,0.2683,0.05875,-0.915,0.0606
2026-07-27 13:45:13,688.48,2026-07-27,693.0,0.58,0.59,0.67,478,577,0.2875,0.1992,0.05284,-0.585,0.0513
2026-07-27 13:45:13,688.48,2026-07-27,694.0,0.44,0.46,0.46,654,1277,0.2961,0.1581,0.04435,-0.45,0.0444
2026-07-27 13:45:13,688.48,2026-07-27,695.0,0.3,0.31,0.28,1184,1170,0.2935,0.1161,0.03621,-0.305,0.0359
2026-07-27 13:45:13,688.48,2026-07-27,696.0,0.17,0.18,0.21,244,377,0.2818,0.0755,0.02747,-0.175,0.0262
2026-07-27 13:45:13,688.48,2026-07-27,697.0,0.14,0.15,0.15,369,946,0.2972,0.0615,0.02224,-0.145,0.0223
2026-07-27 13:45:13,688.48,2026-07-27,698.0,0.06,0.07,0.1,498,657,0.2777,0.0326,0.01427,-0.065,0.0134
2026-07-27 13:45:13,688.48,2026-07-27,699.0,0.03,0.04,0.08,596,511,0.2731,0.0191,0.00929,-0.035,0.0086
2026-07-27 13:45:13,688.48,2026-07-27,700.0,0.06,0.07,0.07,1281,3987,0.3249,0.0284,0.01088,-0.065,0.012
