run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-07-27 19:15:15,682.31,2026-07-27,676.0,6.11,6.34,6.02,20650,3,,,,,
2026-07-27 19:15:15,682.31,2026-07-27,677.0,5.23,5.44,5.22,48445,11,0.4235,0.9774,0.02015,-0.025,0.0034
2026-07-27 19:15:15,682.31,2026-07-27,678.0,4.34,4.49,4.33,117467,19,0.4795,0.9244,0.04717,-0.105,0.009
2026-07-27 19:15:15,682.31,2026-07-27,679.0,3.38,3.54,3.39,198051,7,0.4334,0.8886,0.06956,-0.15,0.0119
2026-07-27 19:15:15,682.31,2026-07-27,680.0,2.61,2.63,2.5,330886,229,0.4376,0.8003,0.10152,-0.31,0.0176
2026-07-27 19:15:15,682.31,2026-07-27,681.0,1.83,1.85,1.77,276040,5,0.4211,0.6906,0.13297,-0.53,0.0222
2026-07-27 19:15:15,682.31,2026-07-27,682.0,1.17,1.22,1.17,215474,34,0.4107,0.5489,0.15314,-0.885,0.0249
2026-07-27 19:15:15,682.31,2026-07-27,683.0,0.7,0.71,0.71,166689,33,0.4026,0.3939,0.15178,-0.705,0.0242
2026-07-27 19:15:15,682.31,2026-07-27,684.0,0.38,0.39,0.39,139736,32,0.4028,0.2537,0.1263,-0.385,0.0202
2026-07-27 19:15:15,682.31,2026-07-27,685.0,0.22,0.23,0.19,195867,438,0.4268,0.1595,0.09039,-0.225,0.0153
2026-07-27 19:15:15,682.31,2026-07-27,686.0,0.11,0.12,0.12,127947,90,0.4359,0.0904,0.05939,-0.115,0.0103
2026-07-27 19:15:15,682.31,2026-07-27,687.0,0.06,0.07,0.07,99025,74,0.4593,0.0533,0.03754,-0.065,0.0068
2026-07-27 19:15:15,682.31,2026-07-27,688.0,0.03,0.04,0.03,94652,107,0.478,0.0301,0.02265,-0.035,0.0043
2026-07-27 19:15:15,682.31,2026-07-27,689.0,0.01,0.04,0.02,84639,340,0.5182,0.0208,0.01534,-0.025,0.0032
2026-07-27 19:16:15,682.58,2026-07-27,676.0,6.35,6.52,6.11,20652,3,,,,,
2026-07-27 19:16:15,682.58,2026-07-27,677.0,5.38,5.58,5.48,48449,11,,,,,
2026-07-27 19:16:15,682.58,2026-07-27,678.0,4.46,4.72,4.49,117649,19,0.3226,0.989,0.01442,-0.01,0.0018
2026-07-27 19:16:15,682.58,2026-07-27,679.0,3.61,3.76,3.53,198160,7,0.4212,0.9149,0.0594,-0.105,0.0097
2026-07-27 19:16:15,682.58,2026-07-27,680.0,2.78,2.82,2.76,331321,229,0.4171,0.8409,0.09334,-0.22,0.0151
2026-07-27 19:16:15,682.58,2026-07-27,681.0,1.95,1.97,1.95,276584,5,0.3911,0.7429,0.13242,-0.38,0.0201
2026-07-27 19:16:15,682.58,2026-07-27,682.0,1.32,1.37,1.32,216755,34,0.4139,0.5902,0.15084,-0.765,0.0242
2026-07-27 19:16:15,682.58,2026-07-27,683.0,0.85,0.86,0.85,167486,33,0.4228,0.4378,0.14969,-0.855,0.0245
2026-07-27 19:16:15,682.58,2026-07-27,684.0,0.49,0.5,0.49,140023,32,0.4246,0.2968,0.13087,-0.495,0.0215
2026-07-27 19:16:15,682.58,2026-07-27,685.0,0.22,0.27,0.22,196474,438,0.4155,0.1759,0.09998,-0.245,0.0161
2026-07-27 19:16:15,682.58,2026-07-27,686.0,0.09,0.1,0.09,128087,90,0.3968,0.0841,0.06249,-0.095,0.0096
2026-07-27 19:16:15,682.58,2026-07-27,687.0,0.02,0.03,0.06,99039,74,0.3705,0.0282,0.02806,-0.025,0.004
2026-07-27 19:16:15,682.58,2026-07-27,688.0,0.03,0.04,0.02,94732,107,0.4643,0.0311,0.02427,-0.035,0.0044
2026-07-27 19:16:15,682.58,2026-07-27,689.0,0.01,0.02,0.03,84652,340,0.4696,0.0145,0.01261,-0.015,0.0023
2026-07-27 19:17:15,682.41,2026-07-27,676.0,6.2,6.66,6.38,20667,3,0.4904,0.9837,0.01347,-0.02,0.0025
2026-07-27 19:17:15,682.41,2026-07-27,677.0,5.31,5.5,5.41,48465,11,,,,,
2026-07-27 19:17:15,682.41,2026-07-27,678.0,4.44,4.57,4.55,117670,19,0.4875,0.9303,0.04463,-0.095,0.0082
2026-07-27 19:17:15,682.41,2026-07-27,679.0,3.46,3.57,3.46,198271,7,0.411,0.9122,0.06304,-0.105,0.0098
2026-07-27 19:17:15,682.41,2026-07-27,680.0,2.65,2.72,2.65,331734,229,0.4385,0.8153,0.09883,-0.275,0.0164
2026-07-27 19:17:15,682.41,2026-07-27,681.0,1.82,1.92,1.82,277278,5,0.4121,0.712,0.13453,-0.46,0.021
